x,yi,pi
1.89,1.89,1.94053
1.9,1.9,1.947
1.91,1.91,1.95327
1.92,1.92,1.95933
1.93,1.93,1.96518
1.94,1.94,1.97083
1.95,1.95,1.97625
1.96,1.96,1.98146
1.97,1.97,1.98644
1.98,1.98,1.99119
1.99,1.99,1.99571
