x_curr,y_curr,x_prev,y_prev
3.6946e+12,7.32598e-26,2.78897e+12,1.28562e-25
4.8943e+12,4.17464e-26,3.6946e+12,7.32598e-26
6.48357e+12,2.37888e-26,4.8943e+12,4.17464e-26
8.5889e+12,1.35558e-26,6.48357e+12,2.37888e-26
1.13779e+13,7.72464e-27,8.5889e+12,1.35558e-26
1.50725e+13,4.40181e-27,1.13779e+13,7.72464e-27
1.99668e+13,2.50833e-27,1.50725e+13,4.40181e-27
2.64503e+13,1.42935e-27,1.99668e+13,2.50833e-27
3.50392e+13,8.145e-28,2.64503e+13,1.42935e-27
4.64171e+13,4.64135e-28,3.50392e+13,8.145e-28
6.14896e+13,2.64483e-28,4.64171e+13,4.64135e-28
8.14563e+13,1.50713e-28,6.14896e+13,2.64483e-28
1.07907e+14,8.58823e-29,8.14563e+13,1.50713e-28
1.42946e+14,4.89392e-29,1.07907e+14,8.58823e-29
1.89363e+14,2.78875e-29,1.42946e+14,4.89392e-29
2.50853e+14,1.58914e-29,1.89363e+14,2.78875e-29
3.32309e+14,9.05558e-30,2.50853e+14,1.58914e-29
4.40216e+14,5.16023e-30,3.32309e+14,9.05558e-30
5.83161e+14,2.94051e-30,4.40216e+14,5.16023e-30
7.72524e+14,1.67562e-30,5.83161e+14,2.94051e-30
1.02338e+15,9.54836e-31,7.72524e+14,1.67562e-30
1.35569e+15,5.44104e-31,1.02338e+15,9.54836e-31
1.7959e+15,3.10052e-31,1.35569e+15,5.44104e-31
2.37906e+15,1.7668e-31,1.7959e+15,3.10052e-31
3.15159e+15,1.0068e-31,2.37906e+15,1.7668e-31
4.17496e+15,5.73713e-32,3.15159e+15,1.0068e-31
5.53065e+15,3.26925e-32,4.17496e+15,5.73713e-32
7.32655e+15,1.86295e-32,5.53065e+15,3.26925e-32
9.70561e+15,1.06158e-32,7.32655e+15,1.86295e-32
1.28572e+16,6.04933e-33,9.70561e+15,1.06158e-32
1.70322e+16,3.44715e-33,1.28572e+16,6.04933e-33
2.25628e+16,1.96433e-33,1.70322e+16,3.44715e-33
2.98894e+16,1.11935e-33,2.25628e+16,1.96433e-33
3.9595e+16,6.37852e-34,2.98894e+16,1.11935e-33
5.24522e+16,3.63474e-34,3.9595e+16,6.37852e-34
6.94843e+16,2.07122e-34,5.24522e+16,3.63474e-34
9.20472e+16,1.18026e-34,6.94843e+16,2.07122e-34
1.21937e+17,6.72562e-35,9.20472e+16,1.18026e-34
1.61532e+17,3.83253e-35,1.21937e+17,6.72562e-35
2.13984e+17,2.18393e-35,1.61532e+17,3.83253e-35
2.83468e+17,1.24449e-35,2.13984e+17,2.18393e-35
3.75515e+17,7.09161e-36,2.83468e+17,1.24449e-35
4.97452e+17,4.04109e-36,3.75515e+17,7.09161e-36
6.58983e+17,2.30277e-36,4.97452e+17,4.04109e-36
8.72967e+17,1.31221e-36,6.58983e+17,2.30277e-36
1.15643e+18,7.47752e-37,8.72967e+17,1.31221e-36
1.53195e+18,4.26099e-37,1.15643e+18,7.47752e-37
2.0294e+18,2.42809e-37,1.53195e+18,4.26099e-37
2.68839e+18,1.38362e-37,2.0294e+18,2.42809e-37
3.56135e+18,7.88443e-38,2.68839e+18,1.38362e-37
4.71779e+18,4.49286e-38,3.56135e+18,7.88443e-38
6.24974e+18,2.56022e-38,4.71779e+18,4.49286e-38
8.27914e+18,1.45891e-38,6.24974e+18,2.56022e-38
1.09675e+19,8.31348e-39,8.27914e+18,1.45891e-38
1.45289e+19,4.73736e-39,1.09675e+19,8.31348e-39
1.92467e+19,2.69954e-39,1.45289e+19,4.73736e-39
2.54964e+19,1.5383e-39,1.92467e+19,2.69954e-39
3.37755e+19,8.76588e-40,2.54964e+19,1.5383e-39
4.47431e+19,4.99515e-40,3.37755e+19,8.76588e-40
5.92719e+19,2.84644e-40,4.47431e+19,4.99515e-40
7.85186e+19,1.62202e-40,5.92719e+19,2.84644e-40
1.04015e+20,9.2429e-41,7.85186e+19,1.62202e-40
1.37791e+20,5.26697e-41,1.04015e+20,9.2429e-41
1.82534e+20,3.00133e-41,1.37791e+20,5.26697e-41
2.41806e+20,1.71028e-41,1.82534e+20,3.00133e-41
3.20324e+20,9.74587e-42,2.41806e+20,1.71028e-41
4.24339e+20,5.55359e-42,3.20324e+20,9.74587e-42
5.6213e+20,3.16466e-42,4.24339e+20,5.55359e-42
7.44663e+20,1.80335e-42,5.6213e+20,3.16466e-42
9.86469e+20,1.02762e-42,7.44663e+20,1.80335e-42
1.30679e+21,5.8558e-43,9.86469e+20,1.02762e-42
1.73113e+21,3.33687e-43,1.30679e+21,5.8558e-43
2.29326e+21,1.90148e-43,1.73113e+21,3.33687e-43
3.03793e+21,1.08354e-43,2.29326e+21,1.90148e-43
4.02439e+21,6.17446e-44,3.03793e+21,1.08354e-43
5.33119e+21,3.51846e-44,4.02439e+21,6.17446e-44
7.06232e+21,2.00496e-44,5.33119e+21,3.51846e-44
9.35558e+21,1.14251e-44,7.06232e+21,2.00496e-44
1.23935e+22,6.51046e-45,9.35558e+21,1.14251e-44
1.64179e+22,3.70992e-45,1.23935e+22,6.51046e-45
2.17491e+22,2.11406e-45,1.64179e+22,3.70992e-45
2.88114e+22,1.20468e-45,2.17491e+22,2.11406e-45
3.8167e+22,6.86474e-46,2.88114e+22,1.20468e-45
5.05605e+22,3.91181e-46,3.8167e+22,6.86474e-46
6.69784e+22,2.22911e-46,5.05605e+22,3.91181e-46
8.87275e+22,1.27023e-46,6.69784e+22,2.22911e-46
1.17539e+23,7.2383e-47,8.87275e+22,1.27023e-46
1.55706e+23,4.12468e-47,1.17539e+23,7.2383e-47
2.06266e+23,2.35041e-47,1.55706e+23,4.12468e-47
2.73245e+23,1.33936e-47,2.06266e+23,2.35041e-47
3.61972e+23,7.6322e-48,2.73245e+23,1.33936e-47
4.79511e+23,4.34913e-48,3.61972e+23,7.6322e-48
6.35217e+23,2.47831e-48,4.79511e+23,4.34913e-48
8.41483e+23,1.41224e-48,6.35217e+23,2.47831e-48
1.11473e+24,8.04752e-49,8.41483e+23,1.41224e-48
1.4767e+24,4.5858e-49,1.11473e+24,8.04752e-49
