x,yi,pi
-0.585,-0.43499,-0.43499
-0.575,-0.418349,-0.418352
-0.565,-0.401913,-0.40191
-0.555,-0.385681,-0.385681
-0.545,-0.369652,-0.369652
-0.535,-0.353828,-0.353828
-0.525,-0.338207,-0.338207
-0.515,-0.322788,-0.322788
-0.505,-0.307573,-0.307573
-0.495,-0.292561,-0.292561
-0.485,-0.277751,-0.277751
-0.475,-0.263143,-0.263143
-0.465,-0.248736,-0.248736
-0.455,-0.234532,-0.234532
-0.445,-0.220529,-0.220529
-0.435,-0.206727,-0.206727
-0.425,-0.193126,-0.193126
-0.415,-0.179725,-0.179725
-0.405,-0.166525,-0.166525
-0.395,-0.153525,-0.153525
-0.385,-0.140725,-0.140725
-0.375,-0.128124,-0.128124
-0.365,-0.115723,-0.115723
-0.355,-0.103521,-0.103521
-0.345,-0.0915181,-0.0915181
-0.335,-0.0797136,-0.0797136
-0.325,-0.0681074,-0.0681074
-0.315,-0.0566994,-0.0566994
-0.305,-0.0454892,-0.0454892
-0.295,-0.0344767,-0.0344767
-0.285,-0.0236615,-0.0236615
-0.275,-0.0130435,-0.0130435
-0.265,-0.0026223,-0.0026223
-0.255,0.00760229,0.00760229
-0.245,0.0176305,0.0176305
-0.235,0.0274627,0.0274627
-0.225,0.037099,0.037099
-0.215,0.0465397,0.0465397
-0.205,0.0557851,0.0557851
-0.195,0.0648355,0.0648355
-0.185,0.073691,0.073691
-0.175,0.082352,0.082352
-0.165,0.0908187,0.0908187
-0.155,0.0990915,0.0990915
-0.145,0.10717,0.10717
-0.135,0.115056,0.115056
-0.125,0.122748,0.122748
-0.115,0.130247,0.130247
-0.105,0.137554,0.137554
-0.095,0.144668,0.144668
-0.085,0.15159,0.15159
-0.075,0.158321,0.158321
-0.065,0.164859,0.164859
-0.055,0.171207,0.171207
-0.045,0.177363,0.177363
-0.035,0.183328,0.183328
-0.025,0.189104,0.189104
-0.015,0.194689,0.194689
-0.005,0.200084,0.200084
0.005,0.205289,0.205289
0.015,0.210305,0.210305
0.025,0.215132,0.215132
0.035,0.219771,0.219771
0.045,0.224221,0.224221
0.055,0.228483,0.228483
0.065,0.232557,0.232557
0.075,0.236444,0.236444
0.085,0.240143,0.240143
0.095,0.243656,0.243656
0.105,0.246982,0.246982
0.115,0.250121,0.250121
0.125,0.253075,0.253075
0.135,0.255844,0.255844
0.145,0.258426,0.258426
0.155,0.260825,0.260825
0.165,0.263038,0.263038
0.175,0.265067,0.265067
0.185,0.266912,0.266912
0.195,0.268574,0.268574
0.205,0.270053,0.270053
0.215,0.271348,0.271348
0.225,0.272461,0.272461
0.235,0.273392,0.273392
0.245,0.274141,0.274141
0.255,0.274709,0.274709
0.265,0.275096,0.275096
0.275,0.275302,0.275302
0.285,0.275327,0.275327
0.295,0.275173,0.275173
0.305,0.274839,0.274839
0.315,0.274326,0.274326
0.325,0.273635,0.273635
0.335,0.272765,0.272765
0.345,0.271717,0.271717
0.355,0.270492,0.270492
0.365,0.269089,0.269089
0.375,0.26751,0.26751
0.385,0.265755,0.265755
0.395,0.263824,0.263824
0.405,0.261718,0.261718
0.415,0.259437,0.259437
0.425,0.256982,0.256982
0.435,0.254352,0.254352
0.445,0.251549,0.251549
0.455,0.248574,0.248574
0.465,0.245425,0.245425
0.475,0.242105,0.242105
0.485,0.238613,0.238613
0.495,0.23495,0.23495
0.505,0.231117,0.231117
0.515,0.227114,0.227114
0.525,0.222941,0.222941
0.535,0.2186,0.2186
0.545,0.21409,0.21409
0.555,0.209412,0.209412
0.565,0.204568,0.204568
0.575,0.199556,0.199556
0.585,0.194379,0.194379
0.595,0.189036,0.189036
0.605,0.183528,0.183528
0.615,0.177856,0.177856
0.625,0.172021,0.172021
0.635,0.166022,0.166022
0.645,0.159861,0.159861
0.655,0.153539,0.153539
0.665,0.147055,0.147055
0.675,0.140411,0.140411
0.685,0.133608,0.133608
0.695,0.126646,0.126646
0.705,0.119525,0.119525
0.715,0.112247,0.112247
0.725,0.104813,0.104813
0.735,0.0972221,0.0972221
0.745,0.0894763,0.0894763
0.755,0.0815762,0.0815762
0.765,0.0735224,0.0735224
0.775,0.0653159,0.0653159
0.785,0.0569575,0.0569575
0.795,0.048448,0.048448
0.805,0.0397882,0.0397882
0.815,0.0309791,0.0309791
0.825,0.0220216,0.0220216
0.835,0.0129166,0.0129166
0.845,0.00366493,0.00366493
0.855,-0.00573233,-0.00573233
0.865,-0.0152742,-0.0152742
0.875,-0.0249598,-0.0249598
0.885,-0.0347881,-0.0347881
0.895,-0.0447579,-0.0447579
0.905,-0.0548683,-0.0548683
0.915,-0.0651182,-0.0651182
0.925,-0.0755064,-0.0755065
0.935,-0.086032,-0.086032
0.945,-0.0966936,-0.0966937
0.955,-0.10749,-0.10749
0.965,-0.11842,-0.11842
0.975,-0.129483,-0.129485
